à‚ì`éqfamily	ê∂ï®éÌ	diez_vk	diez_cby	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB		OC_count
yir	pyo		PY03488	PY03488	PY03488   hypothetical protein		OC.529985	139	417	Cir_Bir_Yir Nitrate_red_del	Cir_Bir_Yir/1	PY03488		819
yir	pyo		PY00846	PY00846	PY00846   hypothetical protein		OC.529985	147	444	Cir_Bir_Yir CodY	Cir_Bir_Yir/1	PY00846		819
yir	pyo		PY06263	PY06263	PY06263   hypothetical protein		OC.529985	153	462	Cir_Bir_Yir GIT1_C DUF1043 MCPVI	Cir_Bir_Yir/1	PY06263		819
yir	pyo		PY06444	PY06444	PY06444   hypothetical protein		OC.529985	161	486	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06444		819
yir	pyo		PY05636	PY05636	PY05636   hypothetical protein		OC.529985	162	489	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05636		819
yir	pyo		PY05946	PY05946	PY05946   hypothetical protein		OC.529985	162	489	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05946		819
yir	pyo		PY01977	PY01977	PY01977   hypothetical protein		OC.529985	163	492	Cir_Bir_Yir DUF4014	Cir_Bir_Yir/1	PY01977		819
yir	pyo		PY00310	PY00310	PY00310   hypothetical protein		OC.529985	167	504	Cir_Bir_Yir DUF1049	Cir_Bir_Yir/1	PY00310		819
yir	pyo		PY06411	PY06411	PY06411   hypothetical protein		OC.529985	168	507	Cir_Bir_Yir MRP-S23 Retrotran_gag_2	Cir_Bir_Yir/1	PY06411		819
yir	pyo		PY05415	PY05415	PY05415   hypothetical protein		OC.529985	172	519	Cir_Bir_Yir SpoIISA_toxin DUF4085	Cir_Bir_Yir/1	PY05415		819
yir	pyo		PY02128	PY02128	PY02128   hypothetical protein		OC.529985	175	528	Cir_Bir_Yir	Cir_Bir_Yir/1	PY02128		819
yir	pyo		PY00495	PY00495	PY00495   hypothetical protein		OC.529985	176	529	Cir_Bir_Yir Helicase_C	Cir_Bir_Yir/1	PY00495		819
yir	pyo		PY05148	PY05148	PY05148   hypothetical protein		OC.529985	187	566	Cir_Bir_Yir GIDA_assoc	Cir_Bir_Yir/1	PY05148		819
yir	pyo		PY05959	PY05959	PY05959   hypothetical protein		OC.529985	190	573	Cir_Bir_Yir Occludin_ELL Sec8_exocyst	Cir_Bir_Yir/1	PY05959		819
yir	pyo		PY05875	PY05875	PY05875   hypothetical protein		OC.529985	194	585	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05875		819
yir	pyo		PY03261	PY03261	PY03261   hypothetical protein		OC.529985	204	617	Cir_Bir_Yird DUF3014d dNKd ABC2_membrane_3d	Cir_Bir_Yir/1	PY03261		819
yir	pyo		PY06797	PY06797	PY06797   hypothetical protein		OC.529985	205	618	Cir_Bir_Yir GIT1_C UBN2 vWF_A DUF3169	Cir_Bir_Yir/1	PY06797		819
yir	pyo		PY01190	PY01190	PY01190   hypothetical protein		OC.529985	223	672	Cir_Bir_Yir PBP_dimer	Cir_Bir_Yir/1	PY01190		819
yir	pyo		PY04965	PY04965	PY04965   hypothetical protein		OC.529985	223	670	Cir_Bir_Yir	Cir_Bir_Yir/1	PY04965		819
yir	pyo		PY05403	PY05403	PY05403   hypothetical protein		OC.529985	228	687	Cir_Bir_Yir DUF2951	Cir_Bir_Yir/1	PY05403		819
yir	pyo		PY02824	PY02824	PY02824   hypothetical protein		OC.529985	241	726	Cir_Bir_Yir OAD_gamma	Cir_Bir_Yir/1	PY02824		819
yir	pyo		PY05317	PY05317	PY05317   hypothetical protein		OC.529985	250	753	Cir_Bir_Yir Peptidase_M10_C MRP-S23	Cir_Bir_Yir/1	PY05317		819
yir	pyo		PY01404	PY01404	PY01404   hypothetical protein		OC.529985	251	756	Cir_Bir_Yir FAM86 Retrotran_gag_2 zf-AD	Cir_Bir_Yir/1	PY01404		819
yir	pyo		PY06746	PY06746	PY06746   hypothetical protein		OC.529985	254	765	Cir_Bir_Yir Sigma_reg_N	Cir_Bir_Yir/1	PY06746		819
yir	pyo		PY00923	PY00923	PY00923   hypothetical protein		OC.529985	261	786	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00923		819
yir	pyo		PY02544	PY02544	PY02544   hypothetical protein		OC.529985	261	786	Cir_Bir_Yir GIDA_assoc RPW8	Cir_Bir_Yir/1	PY02544		819
yir	pyo		PY03043	PY03043	PY03043   hypothetical protein		OC.529985	262	789	Cir_Bir_Yir GIDA_assoc RPW8	Cir_Bir_Yir/1	PY03043		819
yir	pyo		PY07309	PY07309	PY07309   hypothetical protein		OC.529985	262	789	Cir_Bir_Yir Anticodon_1	Cir_Bir_Yir/1	PY07309		819
yir	pyo		PY07017	PY07017	PY07017   hypothetical protein		OC.529985	263	792	Cir_Bir_Yir ImpA_N MSA-2c	Cir_Bir_Yir/1	PY07017		819
yir	pyo		PY05067	PY05067	PY05067   hypothetical protein		OC.529985	264	795	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05067		819
yir	pyo		PY01238	PY01238	PY01238   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir RPW8 Retrotrans_gag	Cir_Bir_Yir/1	PY01238		819
yir	pyo		PY03583	PY03583	PY03583   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY03583		819
yir	pyo		PY03912	PY03912	PY03912   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir RPW8	Cir_Bir_Yir/1	PY03912		819
yir	pyo		PY05343	PY05343	PY05343   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir ApoO NBD94	Cir_Bir_Yir/1	PY05343		819
yir	pyo		PY05830	PY05830	PY05830   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir CLTH	Cir_Bir_Yir/1	PY05830		819
yir	pyo		PY06939	PY06939	PY06939   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir RPW8 Sigma_reg_N APG17 Sigma_reg_N Retrotran_gag_2	Cir_Bir_Yir/1	PY06939		819
yir	pyo		PY07436	PY07436	PY07436   hypothetical protein		OC.529985	265	798	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY07436		819
yir	pyo		PY00390	PY00390	PY00390   hypothetical protein		OC.529985	266	801	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00390		819
yir	pyo		PY03849	PY03849	PY03849   hypothetical protein		OC.529985	266	801	Cir_Bir_Yird T3SchapCesAd APG17d Mad3_BUB1_Id RPW8	Cir_Bir_Yir/1	PY03849		819
yir	pyo		PY04996	PY04996	PY04996   hypothetical protein		OC.529985	266	801	Cir_Bir_Yir MRP-S23 DUF5104 YlbD_coat	Cir_Bir_Yir/1	PY04996		819
yir	pyo		PY05150	PY05150	PY05150   hypothetical protein		OC.529985	266	801	Cir_Bir_Yir MRP-S23 DUF5104	Cir_Bir_Yir/1	PY05150		819
yir	pyo		PY00429	PY00429	PY00429   hypothetical protein		OC.529985	267	804	Cir_Bir_Yir PRKCSH-like	Cir_Bir_Yir/1	PY00429		819
yir	pyo		PY02423	PY02423	PY02423   hypothetical protein		OC.529985	267	804	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY02423		819
yir	pyo		PY02519	PY02519	PY02519   hypothetical protein		OC.529985	267	804	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY02519		819
yir	pyo		PY06215	PY06215	PY06215   hypothetical protein		OC.529985	267	804	Cir_Bir_Yir Retrotran_gag_2	Cir_Bir_Yir/1	PY06215		819
yir	pyo		PY06549	PY06549	PY06549   hypothetical protein		OC.529985	267	800	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06549		819
yir	pyo		PY01161	PY01161	PY01161   hypothetical protein		OC.529985	268	807	Cir_Bir_Yir	Cir_Bir_Yir/1	PY01161		819
yir	pyo		PY05505	PY05505	PY05505   hypothetical protein		OC.529985	268	807	Cir_Bir_Yir DUF600 Retrotrans_gag	Cir_Bir_Yir/1	PY05505		819
yir	pyo		PY06700	PY06700	PY06700   hypothetical protein		OC.529985	268	807	Cir_Bir_Yir YlbD_coat	Cir_Bir_Yir/1	PY06700		819
yir	pyo		PY06990	PY06990	PY06990   hypothetical protein		OC.529985	268	807	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06990		819
yir	pyo		PY06997	PY06997	PY06997   hypothetical protein		OC.529985	268	807	Cir_Bir_Yir RPW8 UNC45-central APG17	Cir_Bir_Yir/1	PY06997		819
yir	pyo		PY00559	PY00559	PY00559   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir AUX_IAA	Cir_Bir_Yir/1	PY00559		819
yir	pyo		PY01419	PY01419	PY01419   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir	Cir_Bir_Yir/1	PY01419		819
yir	pyo		PY04845	PY04845	PY04845   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY04845		819
yir	pyo		PY05560	PY05560	PY05560   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir UBN_AB	Cir_Bir_Yir/1	PY05560		819
yir	pyo		PY07198	PY07198	PY07198   hypothetical protein		OC.529985	269	810	Cir_Bir_Yir IL5 DUF4064	Cir_Bir_Yir/1	PY07198		819
yir	pyo		PY04737	PY04737	PY04737   hypothetical protein		OC.529985	270	813	Cir_Bir_Yir KxDL GIDA_assoc Med7 Ku_PK_bind APG17 SF3A3	Cir_Bir_Yir/1	PY04737		819
yir	pyo		PY05758	PY05758	PY05758   hypothetical protein		OC.529985	270	813	Cir_Bir_Yir ACP53EA DUF2935	Cir_Bir_Yir/1	PY05758		819
yir	pyo		PY07023	PY07023	PY07023   hypothetical protein		OC.529985	270	813	Cir_Bir_Yir RPW8	Cir_Bir_Yir/1	PY07023		819
yir	pyo		PY06877	PY06877	PY06877   hypothetical protein		OC.529985	271	816	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06877		819
yir	pyo		PY02036	PY02036	PY02036   hypothetical protein		OC.529985	272	819	Cir_Bir_Yir APG17 RPW8	Cir_Bir_Yir/1	PY02036		819
yir	pyo		PY05770	PY05770	PY05770   hypothetical protein		OC.529985	272	819	Cir_Bir_Yir Sigma_reg_N Claudin_3	Cir_Bir_Yir/1	PY05770		819
yir	pyo		PY06795	PY06795	PY06795   hypothetical protein		OC.529985	272	820	Cir_Bir_Yir Dicty_CTDC	Cir_Bir_Yir/1	PY06795		819
yir	pyo		PY00084	PY00084	PY00084   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir ANTH Sigma_reg_N	Cir_Bir_Yir/1	PY00084		819
yir	pyo		PY00297	PY00297	PY00297   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00297		819
yir	pyo		PY03333	PY03333	PY03333   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir RPW8 Retrotrans_gag T3SchapCesA zf-4CXXC_R1	Cir_Bir_Yir/1	PY03333		819
yir	pyo		PY04276	PY04276	PY04276   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir RPW8	Cir_Bir_Yir/1	PY04276		819
yir	pyo		PY04541	PY04541	PY04541   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir	Cir_Bir_Yir/1	PY04541		819
yir	pyo		PY06132	PY06132	PY06132   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06132		819
yir	pyo		PY07053	PY07053	PY07053   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir Glyco_hydro_65m Vpu	Cir_Bir_Yir/1	PY07053		819
yir	pyo		PY07127	PY07127	PY07127   hypothetical protein		OC.529985	273	822	Cir_Bir_Yir DrrA_P4M	Cir_Bir_Yir/1	PY07127		819
yir	pyo		PY00869	PY00869	PY00869   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00869		819
yir	pyo		PY01331	PY01331	PY01331   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir	Cir_Bir_Yir/1	PY01331		819
yir	pyo		PY02541	PY02541	PY02541   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir Mvb12 GIDA_assoc	Cir_Bir_Yir/1	PY02541		819
yir	pyo		PY03263	PY03263	PY03263   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir MRP-S23	Cir_Bir_Yir/1	PY03263		819
yir	pyo		PY04755	PY04755	PY04755   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir	Cir_Bir_Yir/1	PY04755		819
yir	pyo		PY05828	PY05828	PY05828   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir NBD94	Cir_Bir_Yir/1	PY05828		819
yir	pyo		PY07160	PY07160	PY07160   hypothetical protein		OC.529985	274	825	Cir_Bir_Yir SF3A3 GIDA_assoc Hydrolase_3	Cir_Bir_Yir/1	PY07160		819
yir	pyo		PY03016	PY03016	PY03016   hypothetical protein		OC.529985	275	828	Cir_Bir_Yir	Cir_Bir_Yir/1	PY03016		819
yir	pyo		PY03331	PY03331	PY03331   hypothetical protein		OC.529985	275	828	Cir_Bir_Yir RPW8 DUF3014 Snf7 DUF573 Brucella_OMP2	Cir_Bir_Yir/1	PY03331		819
yir	pyo		PY04786	PY04786	PY04786   hypothetical protein		OC.529985	275	828	Cir_Bir_Yir Cytochrom_C_asm	Cir_Bir_Yir/1	PY04786		819
yir	pyo		PY05675	PY05675	PY05675   hypothetical protein		OC.529985	275	828	Cir_Bir_Yir MRP-S23 DUF2232	Cir_Bir_Yir/1	PY05675		819
yir	pyo		PY01810	PY01810	PY01810   hypothetical protein		OC.529985	276	831	Cir_Bir_Yir DUF1959	Cir_Bir_Yir/1	PY01810		819
yir	pyo		PY02011	PY02011	PY02011   hypothetical protein		OC.529985	276	831	Cir_Bir_Yir FbpA RPW8	Cir_Bir_Yir/1	PY02011		819
yir	pyo		PY05618	PY05618	PY05618   hypothetical protein		OC.529985	276	832	Cir_Bir_Yir DUF4167 Herpes_UL16	Cir_Bir_Yir/1	PY05618		819
yir	pyo		PY05709	PY05709	PY05709   hypothetical protein		OC.529985	276	831	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05709		819
yir	pyo		PY06853	PY06853	PY06853   hypothetical protein		OC.529985	276	831	Cir_Bir_Yir APG17	Cir_Bir_Yir/1	PY06853		819
yir	pyo		PY07042	PY07042	PY07042   hypothetical protein		OC.529985	276	831	Cir_Bir_Yir RPW8 FbpA	Cir_Bir_Yir/1	PY07042		819
yir	pyo		PY03948	PY03948	PY03948   hypothetical protein		OC.529985	277	834	Cir_Bir_Yir	Cir_Bir_Yir/1	PY03948		819
yir	pyo		PY04909	PY04909	PY04909   hypothetical protein		OC.529985	277	834	Cir_Bir_Yir Sigma_reg_N	Cir_Bir_Yir/1	PY04909		819
yir	pyo		PY06233	PY06233	PY06233   hypothetical protein		OC.529985	277	834	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06233		819
yir	pyo		PY07434	PY07434	PY07434   hypothetical protein		OC.529985	277	834	Cir_Bir_Yir Na_Ca_ex	Cir_Bir_Yir/1	PY07434		819
yir	pyo		PY00490	PY00490	PY00490   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir ANTH Sigma_reg_N	Cir_Bir_Yir/1	PY00490		819
yir	pyo		PY01541	PY01541	PY01541   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir DUF3113 KIP1	Cir_Bir_Yir/1	PY01541		819
yir	pyo		PY03045	PY03045	PY03045   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir RPW8 UNC45-central	Cir_Bir_Yir/1	PY03045		819
yir	pyo		PY03166	PY03166	PY03166   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir	Cir_Bir_Yir/1	PY03166		819
yir	pyo		PY03569	PY03569	PY03569   hypothetical protein		OC.529985	278	839	Cir_Bir_Yir Sigma_reg_N	Cir_Bir_Yir/1	PY03569		819
yir	pyo		PY05654	PY05654	PY05654   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir ANTH Sigma_reg_N	Cir_Bir_Yir/1	PY05654		819
yir	pyo		PY06999	PY06999	PY06999   hypothetical protein		OC.529985	278	837	Cir_Bir_Yir	Cir_Bir_Yir/1	PY06999		819
yir	pyo		PY00842	PY00842	PY00842   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir Sigma_reg_N	Cir_Bir_Yir/1	PY00842		819
yir	pyo		PY02570	PY02570	PY02570   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir ApoO	Cir_Bir_Yir/1	PY02570		819
yir	pyo		PY02671	PY02671	PY02671   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir APG17	Cir_Bir_Yir/1	PY02671		819
yir	pyo		PY03193	PY03193	PY03193   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir Peptidase_M9_N	Cir_Bir_Yir/1	PY03193		819
yir	pyo		PY03760	PY03760	PY03760   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir DUF4473	Cir_Bir_Yir/1	PY03760		819
yir	pyo		PY04817	PY04817	PY04817   hypothetical protein		OC.529985	279	841	Cir_Bir_Yir RPW8	Cir_Bir_Yir/1	PY04817		819
yir	pyo		PY06374	PY06374	PY06374   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir APG17 PLU-1 UBN2 DUF3007 Cytochrom_C_asm SecE	Cir_Bir_Yir/1	PY06374		819
yir	pyo		PY07044	PY07044	PY07044   hypothetical protein		OC.529985	279	840	Cir_Bir_Yir Cytochrom_C_asm Sigma_reg_N	Cir_Bir_Yir/1	PY07044		819
yir	pyo		PY00485	PY00485	PY00485   hypothetical protein		OC.529985	280	843	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00485		819
yir	pyo		PY00759	PY00759	PY00759   hypothetical protein		OC.529985	280	843	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00759		819
yir	pyo		PY05121	PY05121	PY05121   hypothetical protein		OC.529985	280	843	Cir_Bir_Yir DUF4167 SSTK-IP	Cir_Bir_Yir/1	PY05121		819
yir	pyo		PY00177	PY00177	PY00177   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir	Cir_Bir_Yir/1	PY00177		819
yir	pyo		PY02688	PY02688	PY02688   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir DUF1049 Med7 ImpA_N	Cir_Bir_Yir/1	PY02688		819
yir	pyo		PY02701	PY02701	PY02701   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir Cytochrom_C_asm	Cir_Bir_Yir/1	PY02701		819
yir	pyo		PY02971	PY02971	PY02971   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir DUF1049	Cir_Bir_Yir/1	PY02971		819
yir	pyo		PY02972	PY02972	PY02972   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir zf-SNAP50_C	Cir_Bir_Yir/1	PY02972		819
yir	pyo		PY03986	PY03986	PY03986   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir Retrotrans_gag	Cir_Bir_Yir/1	PY03986		819
yir	pyo		PY05622	PY05622	PY05622   hypothetical protein		OC.529985	281	846	Cir_Bir_Yir	Cir_Bir_Yir/1	PY05622		819
