遺伝子family	生物種	diez_vk	遺伝子_ids	遺伝子	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB
vir	pvx		PVX_031690	PVX_031690   variable surface protein Vir30		OC.529953	268	807	DUF5063 Plasmodium_Vir	Plasmodium_Vir/1	PVX_031690
vir	pvx		PVX_086885	PVX_086885   hypothetical protein		OC.529953	266	801	Plasmodium_Vir RtcB	Plasmodium_Vir/1	PVX_086885
vir	pvx		PVX_001610	PVX_001610   variable surface protein Vir25-related		OC.529953	338	1017	Plasmodium_Vir Cir_Bir_Yir Mlp Cdc6_C	Plasmodium_Vir/1　Cir_Bir_Yir/1	PVX_001610
vir	pvx		PVX_009600	PVX_009600   variable surface protein Vir5-related		OC.529953	259	780			
vir	pvx		PVX_021685	PVX_021685   variable surface protein Vir5		OC.529953	426	1281	Crl		
vir	pvx		PVX_056690	"PVX_056690   variable surface protein Vir30, truncated"		OC.529953	190	573	Anophelin		
vir	pvx		PVX_093715	PVX_093715   variable surface protein Vir5-like		OC.529953	499	1500			
vir	pvx		PVX_101570	PVX_101570   variable surface protein Vir5-related		OC.529953	386	1161	RB_A		PVX_101570
vir	pvx		PVX_038190	PVX_038190   hypothetical protein		OC.529954	58	177	Plasmodium_Vir	Plasmodium_Vir/1	PVX_038190
vir	pvx		PVX_037690	PVX_037690   hypothetical protein		OC.529954	67	206	Plasmodium_Vir KilA-N	Plasmodium_Vir/1	PVX_037690
vir	pvx		PVX_027190	PVX_027190   hypothetical protein		OC.529954	200	604	Plasmodium_Vir DUF443	Plasmodium_Vir/1	PVX_027190
vir	pvx	PVX_005047	PVX_005047	PVX_005047   variable surface protein Vir22/23-related		OC.529955	527	1584	Plasmodium_Vir DUF4371	Plasmodium_Vir/2	PVX_005047
vir	pvx	PVX_011615	PVX_011615	PVX_011615   variable surface protein vir23		OC.529955	351	1056	Plasmodium_Vir	Plasmodium_Vir/2	PVX_011615
vir	pvx	PVX_051190	PVX_051190	"PVX_051190   variable surface protein Vir23, truncated"		OC.529955	286	861	Plasmodium_Vir DUF3985	Plasmodium_Vir/2	PVX_051190
vir	pvx	PVX_069690	PVX_069690	PVX_069690   variable surface protein Vir23		OC.529955	327	984	Plasmodium_Vir DUF87	Plasmodium_Vir/2	PVX_069690
vir	pvx	PVX_086880	PVX_086880	PVX_086880   variable surface protein Vir23-like		OC.529955	268	807	Plasmodium_Vir zf-C2H2_9	Plasmodium_Vir/1	PVX_086880
vir	pvx	PVX_088790	PVX_088790	PVX_088790   variable surface protein Vir21-like		OC.529955	467	1404	Plasmodium_Vir	Plasmodium_Vir/2	PVX_088790
vir	pvx	PVX_173270	PVX_173270	PVX_173270   variable surface protein Vir23		OC.529955	346	1041	Plasmodium_Vir	Plasmodium_Vir/2	PVX_173270
vir	pvx		PVX_000025	PVX_000025   hypothetical protein		OC.529956	136	411	Plasmodium_Vir	Plasmodium_Vir/1	PVX_000025
vir	pvx	PVX_001615	PVX_001615	PVX_001615   variable surface protein Vir12/24-related		OC.529957	366	1101	Plasmodium_Vir Pex2_Pex12 SF3A3	Plasmodium_Vir/1	PVX_001615
vir	pvx	PVX_001625	PVX_001625	PVX_001625   variable surface protein Vir12-related		OC.529957	460	1383	Plasmodium_Vir TAF4 CDC45 DUF106 V_ATPase_I DUF443 SAPS DUF4407	Plasmodium_Vir/1 TAF4/1	PVX_001625
vir	pvx	PVX_001635	PVX_001635	PVX_001635   hypothetical protein		OC.529957	634	1905	Plasmodium_Vir	Plasmodium_Vir/2	PVX_001635
vir	pvx	PVX_001640	PVX_001640	PVX_001640   hypothetical protein		OC.529957	227	684	Plasmodium_Vir	Plasmodium_Vir/1	PVX_001640
vir	pvx	PVX_001645	PVX_001645	PVX_001645   variable surface protein Vir12-related		OC.529957	529	1590	Plasmodium_Vir	Plasmodium_Vir/1	PVX_001645
vir	pvx	PVX_002480	PVX_002480	PVX_002480   variable surface protein Vir12/24-related		OC.529957	616	1851	Plasmodium_Vir	Plasmodium_Vir/2	PVX_002480
vir	pvx	PVX_002485	PVX_002485	PVX_002485   variable surface protein Vir12-related		OC.529957	276	831	Plasmodium_Vir DUF4806	Plasmodium_Vir/1	PVX_002485
vir	pvx	PVX_002490	PVX_002490	PVX_002490   variable surface protein Vir12-related		OC.529957	464	1395	Plasmodium_Vir	Plasmodium_Vir/1	PVX_002490
vir	pvx	PVX_003485	PVX_003485	PVX_003485   variable surface protein Vir4		OC.529957	329	990	Plasmodium_Vir	Plasmodium_Vir/1	PVX_003485
vir	pvx	PVX_003490	PVX_003490	PVX_003490   hypothetical protein		OC.529957	612	1839	Plasmodium_Vir WTX	Plasmodium_Vir/3	PVX_003490
vir	pvx	PVX_003495	PVX_003495	PVX_003495   variable surface protein Vir22/24-related		OC.529957	635	1908	Plasmodium_Vir	Plasmodium_Vir/2	PVX_003495
vir	pvx	PVX_003505	PVX_003505	PVX_003505   variable surface protein Vir24-related		OC.529957	414	1245	Plasmodium_Vir NBD94	Plasmodium_Vir/3	PVX_003505
vir	pvx	PVX_003510	PVX_003510	PVX_003510   variable surface protein Vir24-related		OC.529957	453	1362	Plasmodium_Vir	Plasmodium_Vir/1	PVX_003510
vir	pvx	PVX_004510	PVX_004510	PVX_004510   variable surface protein Vir4/14-related		OC.529957	353	1062	Plasmodium_Vir SICA_alpha DUF445	Plasmodium_Vir/1	PVX_004510
vir	pvx	PVX_004520	PVX_004520	PVX_004520   variable surface protein Vir4		OC.529957	363	1092	Plasmodium_Vir	Plasmodium_Vir/1	PVX_004520
vir	pvx	PVX_004525	PVX_004525	PVX_004525   variable surface protein Vir16/32-related		OC.529957	353	1062	Plasmodium_Vir HSA	Plasmodium_Vir/1	PVX_004525
vir	pvx	PVX_004535	PVX_004535	PVX_004535   variable surface protein Vir		OC.529957	330	993	Plasmodium_Vir ERp29	Plasmodium_Vir/1	PVX_004535
vir	pvx	PVX_004537	PVX_004537	PVX_004537   hypothetical protein		OC.529957	466	1401	Plasmodium_Vir	Plasmodium_Vir/1	PVX_004537
vir	pvx	PVX_005045	PVX_005045	PVX_005045   variable surface protein Vir12-related		OC.529957	445	1338	Plasmodium_Vir	Plasmodium_Vir/1	PVX_005045
vir	pvx	PVX_005055	PVX_005055	PVX_005055   hypothetical protein		OC.529957	534	1605	Plasmodium_Vir	Plasmodium_Vir/2	PVX_005055
vir	pvx	PVX_005060	PVX_005060	PVX_005060   variable surface protein Vir12-like		OC.529957	451	1356	Plasmodium_Vir	Plasmodium_Vir/1	PVX_005060
vir	pvx	PVX_005065	PVX_005065	PVX_005065   hypothetical protein		OC.529957	198	597	Plasmodium_Vir	Plasmodium_Vir/1	PVX_005065
vir	pvx	PVX_005580	PVX_005580	PVX_005580   variable surface protein Vir4		OC.529957	297	894	Plasmodium_Vir	Plasmodium_Vir/1	PVX_005580
vir	pvx	PVX_006580	PVX_006580	PVX_006580   variable surface protein Vir14		OC.529957	351	1056	Plasmodium_Vir	Plasmodium_Vir/2	PVX_006580
vir	pvx	PVX_007085	PVX_007085	PVX_007085   variable surface protein Vir24-related		OC.529957	321	966	Plasmodium_Vir	Plasmodium_Vir/2	PVX_007085
vir	pvx	PVX_008085	PVX_008085	PVX_008085   variable surface protein Vir 14-related		OC.529957	418	1257	Plasmodium_Vir	Plasmodium_Vir/1	PVX_008085
vir	pvx	PVX_009090	PVX_009090	PVX_009090   variable surface protein Vir14-like		OC.529957	337	1014	Plasmodium_Vir DUF3605	Plasmodium_Vir/1	PVX_009090
vir	pvx	PVX_009595	PVX_009595	PVX_009595   variable surface protein Vir22		OC.529957	392	1179	Plasmodium_Vir	Plasmodium_Vir/1	PVX_009595
vir	pvx	PVX_010105	PVX_010105	PVX_010105   variable surface protein Vir12-related		OC.529957	421	1266	Plasmodium_Vir	Plasmodium_Vir/1	PVX_010105
vir	pvx	PVX_010610	PVX_010610	PVX_010610   variable surface protein Vir14		OC.529957	315	948	Plasmodium_Vir	Plasmodium_Vir/1	PVX_010610
vir	pvx	PVX_013620	PVX_013620	PVX_013620   variable surface protein Vir12-like		OC.529957	537	1614	Plasmodium_Vir	Plasmodium_Vir/1	PVX_013620
vir	pvx	PVX_015635	PVX_015635	PVX_015635   variable surface protein Vir12-like		OC.529957	529	1587	Plasmodium_Vir	Plasmodium_Vir/1	PVX_015635
vir	pvx	PVX_016140	PVX_016140	PVX_016140   variable surface protein Vir4		OC.529957	324	975	Plasmodium_Vir	Plasmodium_Vir/2	PVX_016140
vir	pvx	PVX_017140	PVX_017140	PVX_017140   variable surface protein Vir12-like		OC.529957	568	1707	Plasmodium_Vir	Plasmodium_Vir/2	PVX_017140
vir	pvx	PVX_018660	PVX_018660	PVX_018660   variable surface protein Vir24-like		OC.529957	493	1481	Plasmodium_Vir DUF2096	Plasmodium_Vir/1	PVX_018660
vir	pvx	PVX_019670	PVX_019670	PVX_019670   variable surface protein Vir12-related		OC.529957	172	516	Plasmodium_Vir Tai4 DUF4279	Plasmodium_Vir/1	PVX_019670
vir	pvx	PVX_020680	PVX_020680	PVX_020680   variable surface protein Vir12-like		OC.529957	581	1746	Plasmodium_Vir	Plasmodium_Vir/2	PVX_020680
vir	pvx	PVX_021680	PVX_021680	PVX_021680   variable surface protein Vir4		OC.529957	355	1068	Plasmodium_Vir	Plasmodium_Vir/2	PVX_021680
vir	pvx	PVX_022185	PVX_022185	PVX_022185   variable surface protein Vir12-related		OC.529957	352	1059	Plasmodium_Vir	Plasmodium_Vir/1	PVX_022185
vir	pvx	PVX_022685	PVX_022685	PVX_022685   variable surface protein Vir24-related		OC.529957	630	1893	Plasmodium_Vir	Plasmodium_Vir/1	PVX_022685
vir	pvx	PVX_023185	PVX_023185	PVX_023185   variable surface protein Vir12-related		OC.529957	476	1431	Plasmodium_Vir	Plasmodium_Vir/1	PVX_023185
vir	pvx	PVX_024685	PVX_024685	PVX_024685   variable surface protein Vir12-related		OC.529957	419	1260	Plasmodium_Vir	Plasmodium_Vir/1	PVX_024685
vir	pvx	PVX_024690	PVX_024690	PVX_024690   variable surface protein Vir12-related		OC.529957	343	1032	Plasmodium_Vir	Plasmodium_Vir/2	PVX_024690
vir	pvx	PVX_026190	PVX_026190	PVX_026190   variable surface protein Vir14		OC.529957	353	1062	Plasmodium_Vir	Plasmodium_Vir/1	PVX_026190
vir	pvx	PVX_027690	PVX_027690	PVX_027690   variable surface protein Vir16		OC.529957	315	948	Plasmodium_Vir	Plasmodium_Vir/2	PVX_027690
vir	pvx	PVX_028190	PVX_028190	PVX_028190   variable surface protein Vir4		OC.529957	284	855	Plasmodium_Vir zf-TRAF	Plasmodium_Vir/2	PVX_028190
vir	pvx	PVX_029190	PVX_029190	PVX_029190   variable surface protein Vir14		OC.529957	335	1008	Plasmodium_Vir DUF5033	Plasmodium_Vir/2	PVX_029190
vir	pvx	PVX_030190	PVX_030190	"PVX_030190   variable surface protein Vir14, truncated"		OC.529957	325	980	Plasmodium_Vir ApoC-I	Plasmodium_Vir/2	PVX_030190
vir	pvx	PVX_034190	PVX_034190	PVX_034190   variable surface protein Vir14-related		OC.529957	403	1212	Plasmodium_Vir DUF2892	Plasmodium_Vir/1	PVX_034190
vir	pvx	PVX_034690	PVX_034690	PVX_034690   hypothetical protein		OC.529957	404	1215	Plasmodium_Vir SICA_beta	Plasmodium_Vir/2	PVX_034690
vir	pvx	PVX_037190	PVX_037190	PVX_037190   variable surface protein Vir14/24-related		OC.529957	404	1215	Plasmodium_Vir	Plasmodium_Vir/1	PVX_037190
vir	pvx	PVX_041690	PVX_041690	"PVX_041690   variable surface protein Vir12-related, truncated"		OC.529957	379	1140	Plasmodium_Vir	Plasmodium_Vir/1	PVX_041690
vir	pvx	PVX_042190	PVX_042190	"PVX_042190   variable surface protein Vir12-related, truncated"		OC.529957	450	1354	Plasmodium_Vir	Plasmodium_Vir/1	PVX_042190
vir	pvx	PVX_045690	PVX_045690	PVX_045690   variable surface protein Vir12-related		OC.529957	140	421	Plasmodium_Vir CorA DUF4279 PhageMin_Tail	Plasmodium_Vir/1	PVX_045690
vir	pvx	PVX_050190	PVX_050190	PVX_050190   variable surface protein Vir4		OC.529957	340	1023	Plasmodium_Vir	Plasmodium_Vir/2	PVX_050190
vir	pvx	PVX_051690	PVX_051690	PVX_051690   variable surface protein Vir32		OC.529957	334	1005	Plasmodium_Vir	Plasmodium_Vir/2	PVX_051690
vir	pvx	PVX_052690	PVX_052690	"PVX_052690   variable surface protein Vir4-related, truncated"		OC.529957	279	841	Plasmodium_Vir	Plasmodium_Vir/1	PVX_052690
vir	pvx	PVX_054190	PVX_054190	"PVX_054190   variable surface protein Vir14-related, truncated"		OC.529957	396	1191	Plasmodium_Vir SICA_beta	Plasmodium_Vir/1	PVX_054190
vir	pvx	PVX_061190	PVX_061190	PVX_061190   variable surface protein Vir32		OC.529957	342	1029	Plasmodium_Vir	Plasmodium_Vir/2	PVX_061190
vir	pvx	PVX_063190	PVX_063190	PVX_063190   variable surface protein Vir12-related		OC.529957	483	1452	Plasmodium_Vir	Plasmodium_Vir/1	PVX_063190
vir	pvx	PVX_065690	PVX_065690	PVX_065690   hypothetical protein		OC.529957	394	1185	Plasmodium_Vir	Plasmodium_Vir/1	PVX_065690
vir	pvx	PVX_072690	PVX_072690	PVX_072690   variable surface protein Vir4/14-related		OC.529957	324	975	Plasmodium_Vir	Plasmodium_Vir/2	PVX_072690
vir	pvx	PVX_073690	PVX_073690	PVX_073690   variable surface protein Vir12-related		OC.529957	433	1299	Plasmodium_Vir SICA_beta	Plasmodium_Vir/1	PVX_073690
vir	pvx	PVX_074690	PVX_074690	PVX_074690   variable surface protein Vir4-related		OC.529957	427	1284	Plasmodium_Vir	Plasmodium_Vir/1	PVX_074690
vir	pvx	PVX_075695	PVX_075695	PVX_075695   variable surface protein Vir12/22/24-related		OC.529957	436	1311	Plasmodium_Vir	Plasmodium_Vir/1	PVX_075695
vir	pvx	PVX_076195	PVX_076195	PVX_076195   variable surface protein Vir12-related		OC.529957	459	1380	Plasmodium_Vir	Plasmodium_Vir/1	PVX_076195
vir	pvx	PVX_076695	PVX_076695	PVX_076695   variable surface protein Vir14/32-related		OC.529957	325	978	Plasmodium_Vir	Plasmodium_Vir/1	PVX_076695
vir	pvx	PVX_077695	PVX_077695	PVX_077695   variable surface protein Vir12-like		OC.529957	545	1638	Plasmodium_Vir	Plasmodium_Vir/1	PVX_077695
vir	pvx	PVX_078195	PVX_078195	PVX_078195   variable surface protein Vir12-related		OC.529957	569	1710	Plasmodium_Vir DUF2666	Plasmodium_Vir/1	PVX_078195
vir	pvx	PVX_081850	PVX_081850	PVX_081850   variable surface protein Vir22/23-related		OC.529957	608	1827	Plasmodium_Vir ACCA	Plasmodium_Vir/3	PVX_081850
vir	pvx	PVX_083575	PVX_083575	PVX_083575   variable surface protein Vir24-related		OC.529957	510	1533	Plasmodium_Vir	Plasmodium_Vir/1	PVX_083575
vir	pvx	PVX_083580	PVX_083580	PVX_083580   variable surface protein Vir24-related		OC.529957	575	1728	Plasmodium_Vir	Plasmodium_Vir/2	PVX_083580
vir	pvx	PVX_083590	PVX_083590	PVX_083590   variable surface protein Vir12		OC.529957	452	1359	Plasmodium_Vir	Plasmodium_Vir/1	PVX_083590
vir	pvx	PVX_086855	PVX_086855	PVX_086855   variable surface protein Vir24-like		OC.529957	721	2166	Plasmodium_Vir GLTT	Plasmodium_Vir/2	PVX_086855
vir	pvx	PVX_086860	PVX_086860	PVX_086860   variable surface protein Vir24-related		OC.529957	447	1344	Plasmodium_Vir	Plasmodium_Vir/1	PVX_086860
vir	pvx	PVX_086865	PVX_086865	PVX_086865   hypothetical protein		OC.529957	576	1731	Plasmodium_Vir CemA	Plasmodium_Vir/2	PVX_086865
vir	pvx	PVX_086875	PVX_086875	PVX_086875   variable surface protein Vir27-related		OC.529957	292	879	Plasmodium_Vir Intein_splicing Collagen	Plasmodium_Vir/1	PVX_086875
vir	pvx	PVX_086895	PVX_086895	PVX_086895   hypothetical protein		OC.529957	553	1662	Plasmodium_Vir Cir_Bir_Yir Apq12 GIDA	Plasmodium_Vir/2	PVX_086895
vir	pvx	PVX_088780	PVX_088780	PVX_088780   variable surface protein Vir24-related		OC.529957	446	1341	Plasmodium_Vir HdeA	Plasmodium_Vir/1	PVX_088780
vir	pvx	PVX_088785	PVX_088785	PVX_088785   variable surface protein Vir12		OC.529957	314	945	Plasmodium_Vir	Plasmodium_Vir/2	PVX_088785
vir	pvx	PVX_088795	PVX_088795	PVX_088795   hypothetical protein		OC.529957	359	1080	Plasmodium_Vir	Plasmodium_Vir/1	PVX_088795
vir	pvx	PVX_088800	PVX_088800	PVX_088800   variable surface protein Vir4-related		OC.529957	358	1077	Plasmodium_Vir malic	Plasmodium_Vir/1	PVX_088800
vir	pvx	PVX_088805	PVX_088805	PVX_088805   variable surface protein Vir22/24-like		OC.529957	358	1077	Plasmodium_Vir 2-oxogl_dehyd_N	Plasmodium_Vir/1	PVX_088805
vir	pvx	PVX_090290	PVX_090290	PVX_090290   variable surface protein Vir12		OC.529957	288	867	Plasmodium_Vir	Plasmodium_Vir/1	PVX_090290
vir	pvx	PVX_090295	PVX_090295	PVX_090295   hypothetical protein		OC.529957	542	1629	Plasmodium_Vir	Plasmodium_Vir/2	PVX_090295
vir	pvx	PVX_090305	PVX_090305	PVX_090305   variable surface protein Vir12-related		OC.529957	462	1389	Plasmodium_Vir ASD2	Plasmodium_Vir/1	PVX_090305
