à‚ì`éqfamily	ê∂ï®éÌ	diez_vk		à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB
kir	pkn	PKH_072550	PKH_072550	PKH_072550   KIR protein		OC.486956	449	1350	Glyco_hydro_42		
kir	pkn	PKH_072720	PKH_072720	PKH_072720   KIR protein		OC.486956	594	1785	Plasmodium_Vir DUF725	Plasmodium_Vir/2	PKH_072720
kir	pkn	PKH_080430	PKH_080430	PKH_080430   KIR protein		OC.486956	622	1869	Plasmodium_Vir	Plasmodium_Vir/2	PKH_080430
kir	pkn	PKH_080655	PKH_080655	PKH_080655   KIR protein		OC.486956	353	1062	Plasmodium_Vir CD99L2	Plasmodium_Vir/1	PKH_080655
kir	pkn	PKH_080760	PKH_080760	PKH_080760   KIR-like protein (fragment)		OC.486956	323	972	Plasmodium_Vir HATPase_c_2 ANTH DUF725	Plasmodium_Vir/1	PKH_080760
kir	pkn	PKH_081600	PKH_081600	PKH_081600   KIR protein		OC.486956	641	1926			PKH_081600
kir	pkn	PKH_081780	PKH_081780	PKH_081780   KIR protein		OC.486956	365	1098	Plasmodium_Vir	Plasmodium_Vir/1	PKH_081780
kir	pkn	PKH_082320	PKH_082320	PKH_082320   KIR protein		OC.486956	627	1884	Plasmodium_Vir	Plasmodium_Vir/2	PKH_082320
kir	pkn	PKH_082880	PKH_082880	PKH_082880   KIR protein		OC.486956	410	1233	Plasmodium_Vir UPF0223	Plasmodium_Vir/1	PKH_082880
kir	pkn	PKH_090700	PKH_090700	PKH_090700   KIR protein		OC.486956	390	1173	Plasmodium_Vir	Plasmodium_Vir/2	PKH_090700
kir	pkn	PKH_091320	PKH_091320	PKH_091320   KIR protein		OC.486956	633	1902	Plasmodium_Vir	Plasmodium_Vir/2	PKH_091320
kir	pkn	PKH_100020	PKH_100020	PKH_100020   KIR-like protein		OC.486956	531	1596	Plasmodium_Vir	Plasmodium_Vir/1	PKH_100020
kir	pkn	PKH_100050	PKH_100050	PKH_100050   KIR-like protein		OC.486956	521	1566	Plasmodium_Vir Sporozoite_P67 YL1 NOA36 RXT2_N Nop14 DNA_pol_phi DUF2457 SDA1 PTPRCAP Cwf_Cwc_15 BUD22	Plasmodium_Vir/1 Sporozoite_P67/1	PKH_100050
kir	pkn	PKH_100240	PKH_100240	PKH_100240   KIR protein		OC.486956	387	1164	Plasmodium_Vir	Plasmodium_Vir/1	PKH_100240
kir	pkn	PKH_101170	PKH_101170	PKH_101170   KIR protein		OC.486956	407	1224	Plasmodium_Vir	Plasmodium_Vir/1	PKH_101170
kir	pkn	PKH_101340	PKH_101340	PKH_101340   KIR protein		OC.486956	596	1791	Plasmodium_Vir	Plasmodium_Vir/1	PKH_101340
kir	pkn	PKH_102040	PKH_102040	PKH_102040   KIR protein		OC.486956	352	1059	Plasmodium_Vir DUF2317	Plasmodium_Vir/1	PKH_102040
kir	pkn	PKH_111210	PKH_111210	PKH_111210   KIR protein		OC.486956	369	1110	Plasmodium_Vir	Plasmodium_Vir/1	PKH_111210
kir	pkn	PKH_112420	PKH_112420	PKH_112420   KIR protein		OC.486956	581	1746			PKH_112420
kir	pkn	PKH_113750	PKH_113750	PKH_113750   KIR protein		OC.486956	586	1761	Plasmodium_Vir	Plasmodium_Vir/1	PKH_113750
kir	pkn	PKH_114580	PKH_114580	PKH_114580   KIR protein		OC.486956	407	1224	Plasmodium_Vir DUF1638	Plasmodium_Vir/1	PKH_114580
kir	pkn	PKH_120800	PKH_120800	PKH_120800   KIR protein		OC.486956	675	2028	Plasmodium_Vir MGC-24 GDNF	Plasmodium_Vir/2	PKH_120800
kir	pkn		PKH_121020	PKH_121020   KIR protein		OC.486956	380	1143	Plasmodium_Vir		PKH_121020
kir	pkn	PKH_123620	PKH_123620	PKH_123620   KIR protein		OC.486956	623	1872	Plasmodium_Vir CGGC	Plasmodium_Vir/2	PKH_123620
kir	pkn	PKH_123760	PKH_123760	PKH_123760   KIR protein		OC.486956	669	2010	Plasmodium_Vir	Plasmodium_Vir/2	PKH_123760
kir	pkn	PKH_123870	PKH_123870	PKH_123870   KIR protein		OC.486956	407	1224	Plasmodium_Vir	Plasmodium_Vir/1	PKH_123870
kir	pkn	PKH_126760	PKH_126760	PKH_126760   KIR protein		OC.486956	380	1143	Plasmodium_Vir	Plasmodium_Vir/1	PKH_126760
kir	pkn	PKH_130890	PKH_130890	PKH_130890   KIR protein		OC.486956	664	1995	Plasmodium_Vir	Plasmodium_Vir/2	PKH_130890
kir	pkn	PKH_131110	PKH_131110	PKH_131110   KIR protein		OC.486956	582	1749	Plasmodium_Vir	Plasmodium_Vir/1	PKH_131110
kir	pkn	PKH_131810	PKH_131810	PKH_131810   KIR-like protein		OC.486956	561	1686	Plasmodium_Vir	Plasmodium_Vir/1	PKH_131810
kir	pkn	PKH_132200	PKH_132200	PKH_132200   KIR protein (fragment)		OC.486956	473	1419	Plasmodium_Vir	Plasmodium_Vir/1	PKH_132200
kir	pkn		PKH_132220	PKH_132220   KIR protein		OC.486956	590	1773			
kir	pkn	PKH_133340	PKH_133340	PKH_133340   KIR-like protein (fragment)		OC.486956	393	1182			PKH_133340
kir	pkn	PKH_134590	PKH_134590	PKH_134590   KIR-like protein		OC.486956	464	1395	Plasmodium_Vir UPF0203 SBF	Plasmodium_Vir/1	PKH_134590
kir	pkn	PKH_141390	PKH_141390	PKH_141390   KIR protein		OC.486956	636	1911	Plasmodium_Vir	Plasmodium_Vir/2	PKH_141390
kir	pkn	PKH_141760	PKH_141760	PKH_141760   KIR protein		OC.486956	415	1248	Plasmodium_Vir	Plasmodium_Vir/1	PKH_141760
kir	pkn	PKH_143050	PKH_143050	PKH_143050   KIR protein		OC.486956	631	1896	Plasmodium_Vir	Plasmodium_Vir/2	PKH_143050
kir	pkn	PKH_144180	PKH_144180	PKH_144180   KIR protein		OC.486956	673	2022	Plasmodium_Vir MGC-24	Plasmodium_Vir/2	PKH_144180
kir	pkn	PKH_145230	PKH_145230	PKH_145230   KIR protein		OC.486956	411	1236	Plasmodium_Vir VMA21 Hid1	Plasmodium_Vir/1	PKH_145230
kir	pkn	PKH_145735	PKH_145735	PKH_145735   KIR protein		OC.486956	624	1875	Plasmodium_Vir	Plasmodium_Vir/2	PKH_145735
kir	pkn	PKH_145880	PKH_145880	PKH_145880   KIR protein		OC.486956	586	1761	Plasmodium_Vir ZYG-11_interact DUF3746	Plasmodium_Vir/1	PKH_145880
kir	pkn	PKH_146730	PKH_146730	PKH_146730   KIR protein		OC.486956	630	1893	Plasmodium_Vir COX5A	Plasmodium_Vir/3	PKH_146730
kir	pkn	PKH_146750	PKH_146750	PKH_146750   KIR protein		OC.486956	647	1944	Plasmodium_Vir	Plasmodium_Vir/2	PKH_146750
kir	pkn	PKH_062280	PKH_062280	PKH_062280   kir-like protein		OC.529957	402	1209	Plasmodium_Vir Peptidase_M9_N Caveolin	Plasmodium_Vir/1	PKH_062280
kir	pkn	PKH_114850	PKH_114850	PKH_114850   KIR protein		OC.529957	532	1599	Plasmodium_Vir DUF1510 DUF2254 DUF1777 DUF808 SpoIIIAH Zip RNA_pol_Rpc4 DUF4834	Plasmodium_Vir/1 DUF1510/1	PKH_114850
kir	pkn	PKH_020060	PKH_020060	PKH_020060   KIR-like protein		OC.529974	506	1521	Plasmodium_Vir		PKH_020060
