à‚ì`éqfamily	ê∂ï®éÌ	diez_rs	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3	verDB	AB-type
rifin	pfa	MAL7P1.213	MAL7P1.213	MAL7P1.213   RIF; rifin		OC.530158	340	1023	Rifin_STEVOR DUF1180 DUF912 TMEM154 DUF3377 PspB DUF443 Adeno_E3_CR2 DUF1191 IncA Amnionless DUF2207 Baculo_11_kDa Glycophorin_A YajC DUF3810	Rifin_STEVOR/1		A
rifin	pfa	MAL7P1.215	MAL7P1.215	MAL7P1.215   RIF; rifin		OC.530158	356	1071	Rifin_STEVOR DUF912 DUF443 Baculo_11_kDa TauE DUF1180 TMEM154 DUF2207 BatD MCU DUF1191 Adeno_E3_CR2 Tmemb_9 CR6_interact EphA2_TM Cadherin_C_2 Syndecan Glycophorin_A	Rifin_STEVOR/1 DUF912/1		B2
rifin	pfa	MAL7P1.216	MAL7P1.216	MAL7P1.216   RIF; rifin		OC.530158	368	1107	Rifin_STEVOR DUF912 DUF2207 Baculo_11_kDa TMEM156 DUF3377 TMEM154 Protocadherin PspB Glycophorin_A Adeno_E3_CR2	Rifin_STEVOR/1		A
rifin	pfa	MAL7P1.217	MAL7P1.217	MAL7P1.217   RIF; rifin		OC.530158	368	1107	Rifin_STEVOR DUF912 DUF1191 TMEM154 DUF3377 DUF2207 PspB DAG1 Baculo_11_kDa AAT Adeno_E3_CR2 Glycophorin_A Sigma_reg_N DUF4381 YajC DUF1180 ASFV_J13L EphA2_TM	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	MAL7P1.219	MAL7P1.219	MAL7P1.219   RIF; rifin		OC.530158	306	921	Rifin_STEVOR PspB DUF2207 DUF443 DUF912 Viral_Beta_CD DUF1191 ECSCR DUF4381	Rifin_STEVOR/1		B3
rifin	pfa	MAL7P1.222	MAL7P1.222	MAL7P1.222   RIF; rifin		OC.530158	326	981	Rifin_STEVOR PspB TMEM154 DUF912 Baculo_11_kDa COX2_TM ASFV_J13L Adeno_E3_CR2 DUF16 Nucleoporin2 DUF1180 YajC DUF3810 Syndecan	Rifin_STEVOR/1 PspB/1		A
rifin	pfa	MAL7P1.57	MAL7P1.57	MAL7P1.57   RIF; rifin	K13851	OC.530158	346	1041	Rifin_STEVOR DUF912 TMEM154 PspB Adeno_E3_CR2 DUF3377 HemY_N Baculo_11_kDa	Rifin_STEVOR/1		A
rifin	pfa	MAL8P1.208	MAL8P1.208	MAL8P1.208   RIF; rifin		OC.530158	370	1113	Rifin_STEVOR PspB DUF912 DUF2207 TMEM154 PalH DUF1180 PBP_like AbLIM_anchor DUF3377 Adeno_E3_CR2 YajC Glycophorin_A DUF3810	Rifin_STEVOR/1		A
rifin	pfa	MAL8P1.216	MAL8P1.216	MAL8P1.216   rifin		OC.530158	346	1041	Rifin_STEVOR TMEM154 PspB DUF912 DUF3377 IncA Adeno_E3_CR2 DUF1191 DUF4799 Baculo_11_kDa YajC Glycophorin_A Cadherin_C_2 ASFV_J13L	Rifin_STEVOR/1		
rifin	pfa	MAL8P1.218	MAL8P1.218	MAL8P1.218   RIF; rifin		OC.530158	316	951	Rifin_STEVOR DUF912 Glycophorin_A PspB DUF2207 Chordopox_A13L Syndecan COX2_TM DUF443 DUF4083	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	MAL8P1.219	MAL8P1.219	MAL8P1.219   RIF; rifin		OC.530158	323	972	Rifin_STEVOR DUF912 PspB AAT DUF2207 Glycoprotein_B	Rifin_STEVOR/1		A
rifin	pfa	PF07_0003	PF07_0003	PF07_0003   RIF; rifin	K13851	OC.530158	331	996	Rifin_STEVOR TMEM154 DUF912 DUF1191 DUF1180 m04gp34like AbLIM_anchor DUF3377 DUF2207 ODV-E18	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PF07_0132	PF07_0132	PF07_0132   RIF; rifin	K13851	OC.530158	366	1101	Rifin_STEVOR DUF912 DUF3377 TMEM154 PspB Baculo_11_kDa DUF1191 AbLIM_anchor MotA_ExbB DUF1180 DUF2207 EphA2_TM ASFV_J13L	Rifin_STEVOR/1		A
rifin	pfa	PF07_0134	PF07_0134	PF07_0134   RIF; rifin	K13851	OC.530158	382	1149	Rifin_STEVOR DUF912 TMEM154 DUF3377 DUF1191 DUF1180 Glycophorin_A YajC DAG1 DUF2937 DUF2207	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PF07_0136	PF07_0136	"PF07_0136   RIF, MAL7P1.210; rifin"	K13851	OC.530158	359	1080	Rifin_STEVOR DUF2207 TMEM154 DUF912 BatD Herpes_gE DUF1191 TMEM156 DUF3810 DUF4381 PspB Glycophorin_A SpecificRecomb ETRAMP Baculo_11_kDa	Rifin_STEVOR/1 TMEM154/1		B2
rifin	pfa	PF07_0138	PF07_0138	PF07_0138   RIF; rifin	K13851	OC.530158	339	1020	Rifin_STEVOR TMEM154 DUF912 DUF1191 PspB DUF2207 Peptidase_M56 DUF3377 DUF1180 Adeno_E3_CR2 DUF1230 DcpS Baculo_11_kDa Cadherin_C_2 ASFV_J13L DUF2053	Rifin_STEVOR/1		A
rifin	pfa	PF08_0104	PF08_0104	PF08_0104   RIF; rifin	K13851	OC.530158	332	999	Rifin_STEVOR DUF912 Adeno_E3_CR2 DUF1180 zinc_ribbon_2 AbLIM_anchor DUF3377 TMEM154	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PF08_0105	PF08_0105	PF08_0105   RIF; rifin	K13851	OC.530158	388	1167	Rifin_STEVOR DUF912 TMEM154 DUF1180 DUF3377 Adeno_E3_CR2 DUF2207 DUF4199 Syndecan ECSCR PspB DUF3810 zinc_ribbon_2 IncA	Rifin_STEVOR/1 TMEM154/1 DUF912/1		
rifin	pfa	PF08_0138	PF08_0138	PF08_0138   RIF; rifin	K13851	OC.530158	375	1128	Rifin_STEVOR DUF1180 DUF912 PspB TMEM154 PalH DUF2207 Adeno_E3_CR2 Amnionless Glycophorin_A YajC DUF3377	Rifin_STEVOR/1 DUF1180/1		A
rifin	pfa	PF08_0139	PF08_0139	PF08_0139   RIF; rifin	K13851	OC.530158	367	1104	Rifin_STEVOR TMEM154 DUF912 DUF3377 DUF2207 PspB TRP DUF1499 DUF4199 DUF1191 DUF2937 DUF1180 Baculo_11_kDa DUF4381 LAX	Rifin_STEVOR/1 TMEM154/1 DUF912/1		
rifin	pfa	PF10_0002	PF10_0002	PF10_0002   rifin	K13851	OC.530158	371	1116	Rifin_STEVOR TMEM154 DUF912 PalH DUF1180 DUF2207 Glycophorin_A Cadherin_C_2 PspB Herpes_gE Herpes_glycop zinc_ribbon_2 DUF3377 DUF1191 Peptidase_M56 Protocadherin DUF4366 Baculo_11_kDa Adeno_E3_CR2 DUF2937	Rifin_STEVOR/1 PalH/1 TMEM154/1 DUF912/1		
rifin	pfa	PF10_0003	PF10_0003	PF10_0003   rifin	K13851	OC.530158	345	1038	Rifin_STEVOR DUF2721 TMEM156 DUF912 DUF2207 DUF1180 Adeno_E3_CR2 TMEM154 DUF1191 DUF3377 Baculo_11_kDa Tmemb_9 PspB FAM176 DUF4381 EphA2_TM ETRAMP	Rifin_STEVOR/1		B1
rifin	pfa	PF10_0004	PF10_0004	PF10_0004   rifin	K13851	OC.530158	371	1116	Rifin_STEVOR DUF912 TMEM154 DUF3377 PspB Adeno_E3_CR2 Baculo_11_kDa Cadherin_C_2 DUF2207 DUF4381 IncA YajC	Rifin_STEVOR/1		A
rifin	pfa	PF10_0005	PF10_0005	PF10_0005   rifin	K13851	OC.530158	376	1131	Rifin_STEVOR DUF912 DUF1191 DUF2207 TMEM154 zf-DNA_Pol PNTB Baculo_11_kDa PspB Adeno_E3_CR2 DUF1180 DUF1616 Sigma_reg_N YajC Glycophorin_A DUF4381 DUF3377	Rifin_STEVOR/1 DUF912/1 DUF2207/1 DUF1191/1		
rifin	pfa	PF10_0006	PF10_0006	PF10_0006   rifin	K13851	OC.530158	361	1086	Rifin_STEVOR DUF443 DUF912 TMEM154 DUF2207 DUF3377 DUF1191 Adeno_E3_CR2 DUF1180 Baculo_11_kDa GP41 EphA2_TM MscL PspB Glycophorin_A	Rifin_STEVOR/1		
rifin	pfa	PF10_0393	PF10_0393	PF10_0393   rifin	K13851	OC.530158	359	1080	Rifin_STEVOR Glycophorin_A DUF912 DUF1180 DUF4064 TMEM154 ECSCR PspB ox_reductase_C Baculo_11_kDa DUF2207 DUF3377 AbLIM_anchor DAG1 DUF443 Peptidase_M56 7TM_GPCR_Srd Endomucin Adeno_E3_CR2	Rifin_STEVOR/1 Glycophorin_A/1 DUF912/1 		A
rifin	pfa	PF10_0394	PF10_0394	PF10_0394   rifin	K13851	OC.530158	309	930	Rifin_STEVOR DUF2207 PspB DUF4381 DUF912 DUF1191 YkuI_C DUF3377 ASFV_J13L DUF3810	Rifin_STEVOR/1		B3
rifin	pfa	PF10_0396	PF10_0396	PF10_0396   rifin	K13851	OC.530158	378	1137	Rifin_STEVOR Baculo_11_kDa DUF912 TMEM154 DUF3377 DUF443 PspB ETRAMP DUF1180 Glycophorin_A DUF2207 Adeno_E3_CR2 Amnionless PGG DUF2755 DUF1191 Syndecan EphA2_TM YajC	Rifin_STEVOR/1 TMEM154/1 DUF912/1 Baculo_11_kDa/1		A
rifin	pfa	PF10_0397	PF10_0397	PF10_0397   rifin	K13851	OC.530158	348	1047	Rifin_STEVOR DUF912 DUF1191 DUF2207 DUF4381 DUF443 Cadherin_C_2 PspB DUF4366 DUF3377 Tmemb_9 Syndecan Adeno_E3_CR2 Glycophorin_A	Rifin_STEVOR/1		B1
rifin	pfa	PF10_0398	PF10_0398	PF10_0398   rifin	K13851	OC.530158	350	1053	Rifin_STEVOR DUF912 EpsG DUF1191 Baculo_11_kDa DUF2207 Adeno_E3_CR2 Protocadherin	Rifin_STEVOR/1		A
rifin	pfa	PF10_0399	PF10_0399	PF10_0399   rifin	K13851	OC.530158	326	981	Rifin_STEVOR DUF2207 DUF1180 DUF912 TMEM154 DUF4083 ECSCR DUF1191 PspB COX2_TM DUF4381 Syndecan Peptidase_M56	Rifin_STEVOR/1		
rifin	pfa	PF10_0400	PF10_0400	PF10_0400   rifin	K13851	OC.530158	372	1119	Rifin_STEVOR TMEM154 DUF912 DUF2937 DUF1191 Amnionless DUF1180 Tmemb_9 PspB DUF2207 DUF3377 Glycophorin_A DUF443 Protocadherin SKG6 Baculo_11_kDa	Rifin_STEVOR/1 TMEM154/1		A
rifin	pfa	PF10_0401	PF10_0401	PF10_0401   rifin	K13851	OC.530158	295	888	Rifin_STEVOR DUF912 TMEM154 DUF1168 DUF4381 Renin_r	Rifin_STEVOR/1		
rifin	pfa	PF10_0402	PF10_0402	PF10_0402   rifin	K13851	OC.530158	311	936	Rifin_STEVOR DAG1 DUF912 TMEM154 Baculo_11_kDa DUF443 DUF2207 DUF2668 DUF4199 IncA Cadherin_C_2 Amnionless	Rifin_STEVOR/1 DAG1/1 DUF912/1		A-B3*
rifin	pfa	PF10_0403	PF10_0403	PF10_0403   rifin	K13851	OC.530158	370	1113	Rifin_STEVOR TMEM154 DUF912 DUF1180 DUF1191 PspB Tmemb_9 Peptidase_M56 DUF3377 DUF1230 Cadherin_C_2 YajC SUR7 DUF2207 DUF443 Baculo_11_kDa	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PF10_0404	PF10_0404	PF10_0404   rifin	K13851	OC.530158	334	1005	Rifin_STEVOR PspB DUF443 DUF912 Cadherin_C_2 DUF1203 Glycophorin_A DUF2207 Baculo_11_kDa	Rifin_STEVOR/1		
rifin	pfa	PF10_0405	PF10_0405	PF10_0405   rifin	K13851	OC.530158	371	1116	Rifin_STEVOR DUF4381 DUF2207 DUF1191 PspB TMEM154 DUF912 DUF1180 DUF2062 Glycophorin_A YajC	Rifin_STEVOR/1		A
rifin	pfa	PF11_0009	PF11_0009	PF11_0009   rifin	K13851	OC.530158	340	1023	Rifin_STEVOR DUF912 DUF3377 Baculo_E56 DUF2207 ASFV_J13L Adeno_E3_CR2 PspB DUF1180 TMEM154 Herpes_gE DUF1191 IncA YajC Baculo_11_kDa DUF3810	Rifin_STEVOR/1		A
rifin	pfa	PF11_0010	PF11_0010	PF11_0010   rifin	K13851	OC.530158	323	972	Rifin_STEVOR DUF912 Apolipoprotein DUF2207 ECSCR PspB	Rifin_STEVOR/1		A
rifin	pfa	PF11_0011	PF11_0011	PF11_0011   rifin	K13851	OC.530158	327	984	Rifin_STEVOR DUF912 Glycophorin_A PspB DUF2207 Syndecan Chordopox_A13L	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PF11_0020	PF11_0020	PF11_0020   rifin	K13851	OC.530158	356	1071	Rifin_STEVOR Baculo_11_kDa DUF912 DUF1180 TauE DUF443 TMEM154 BatD DUF2207 Zip Adeno_E3_CR2 DUF1191 MCU Glycophorin_A ETRAMP	Rifin_STEVOR/1 DUF912/1		B2
rifin	pfa	PF11_0021	PF11_0021	PF11_0021   rifin	K13851	OC.530158	330	993	Rifin_STEVOR DUF912 PspB DUF4059 DUF2207 DUF1049 ASFV_J13L Adeno_E3_CR2	Rifin_STEVOR/1		A
rifin	pfa	PF11_0515	PF11_0515	PF11_0515   rifin	K13851	OC.530158	314	945	Rifin_STEVOR TMEM154 DUF2207 DUF912 EphA2_TM DUF1191 PspB ECSCR SIT DUF1180 DUF4381 BatD Sigma_reg_N	Rifin_STEVOR/1 TMEM154/1 		B3
rifin	pfa	PF11_0517	PF11_0517	PF11_0517   rifin	K13851	OC.530158	369	1110	Rifin_STEVOR TMEM154 Herpes_glycop DUF912 DUF2207 PspB zinc_ribbon_2 SAYSvFN DUF1180 Adeno_E3_CR2 DUF3377 YajC MLANA	Rifin_STEVOR/1 TMEM154/1		
rifin	pfa	PF11_0519	PF11_0519	PF11_0519   rifin	K13851	OC.530158	338	1017	Rifin_STEVOR TMEM154 DUF912 DUF2207 PspB DUF443 EIIC-GAT DUF1191 DUF3377 Baculo_11_kDa ASFV_J13L zinc_ribbon_2 DUF1180 Adeno_E3_CR2 EphA2_TM	Rifin_STEVOR/1 TMEM154/1		
rifin	pfa	PF11_0520	PF11_0520	PF11_0520   rifin	K13851	OC.530158	341	1026	Rifin_STEVOR DUF912 DUF2207 DUF1180 ASFV_J13L TctA PspB Baculo_E56 DUF1191 Adeno_E3_CR2 DUF3377 DUF3816 TMEM154 IncA YajC DUF4381 Amnionless DUF3810	Rifin_STEVOR/1		A
rifin	pfa	PF11_0529	PF11_0529	PF11_0529   rifin	K13851	OC.530158	349	1050	Rifin_STEVOR DUF912 TMEM154 PspB DUF2207 DUF1191 Glycophorin_A Baculo_11_kDa Adeno_E3_CR2 DUF1180 YajC DUF4381 DUF3377 EphA2_TM ASFV_J13L IncA	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PF13_0004	PF13_0004	PF13_0004   RIF; rifin	K13851	OC.530158	343	1032	Rifin_STEVOR DUF1191 DUF2207 DUF1180 DUF912 TctA PspB Baculo_E56 TMEM154 Amnionless DUF4448 Adeno_E3_CR2 IncA DUF3377 ASFV_J13L AAT YajC DUF4381	Rifin_STEVOR/1		A
rifin	pfa	PF13_0005	PF13_0005	PF13_0005   RIF; rifin	K13851	OC.530158	331	996	Rifin_STEVOR DUF2207 SecD_SecF DUF912 PspB DUF443 Glycophorin_A Herpes_gE TMEM154 ASFV_J13L COX2_TM ECSCR DAG1 RseC_MucC Adeno_E3_CR2 Baculo_11_kDa	Rifin_STEVOR/1 DUF2207/1		A
rifin	pfa	PF13_0006	PF13_0006	PF13_0006   RIF; rifin	K13851	OC.530158	345	1038	Rifin_STEVOR DUF1180 ETRAMP DUF912 TMEM154 DUF2207 DUF1191 Fusion_gly_K DUF4366 Glycophorin_A Baculo_11_kDa DAG1 Adeno_E3_CR2 Cadherin_C_2 DUF3377 Tmemb_9 EphA2_TM	Rifin_STEVOR/1 DUF1180/1 TMEM154/1 DUF912/1		B1
rifin	pfa	PF14_0002	PF14_0002	PF14_0002   rifin	K13851	OC.530158	364	1095	Rifin_STEVOR DUF2207 TMEM154 DUF912 DUF1191 DUF3021 PspB DUF1180 DUF4381 Tweety DUF687 BatD	Rifin_STEVOR/1 Rhabdo_glycop/1 		
rifin	pfa	PF14_0003	PF14_0003	PF14_0003   rifin	K13851	OC.530158	342	1029	Rifin_STEVOR DUF912 DUF1180 DUF2721 TMEM156 PspB TMEM154 DUF2207 DUF1191 DUF3377 Cadherin_C_2 EphA2_TM	Rifin_STEVOR/1		
rifin	pfa	PF14_0004	PF14_0004	PF14_0004   rifin	K13851	OC.530158	337	1014	Rifin_STEVOR DUF2615 DUF912 TMEM156 zf-DNA_Pol DUF3377 TMEM154 DUF3523 Claudin_3 DUF1191 Baculo_11_kDa DUF4366 DUF1180 DUF2207 IncA DUF3810	Rifin_STEVOR/1		A
rifin	pfa	PF14_0005	PF14_0005	PF14_0005   rifin	K13851	OC.530158	339	1020	Rifin_STEVOR TMEM154 DUF912 TRP DUF1191 Cadherin_C_2 Adeno_E3_CR2 PspB DUF1180 DUF2207 SP_C-Propep DAG1 Sigma_reg_N COX2_TM EphA2_TM Glycophorin_A Baculo_11_kDa Lamp Syndecan Rax2 LAX DUF4083 DUF3377	Rifin_STEVOR/1 TMEM154/1		B3
rifin	pfa	PF14_0006	PF14_0006	PF14_0006   rifin	K13851	OC.530158	367	1104	Rifin_STEVOR DUF912 DUF2207 TMEM154 PspB DUF3377 Baculo_11_kDa DUF443 DUF1180 Adeno_E3_CR2 Glycophorin_A IncA EphA2_TM	Rifin_STEVOR/1		A
rifin	pfa	PF14_0008	PF14_0008	PF14_0008   rifin	K13851	OC.530158	316	951	Rifin_STEVOR DUF2207 DUF912 DUF4381 TMEM154 DUF1191 fn2 DUF1180 PspB Sigma_reg_N DUF3810	Rifin_STEVOR/1 DUF2207/1		B3
rifin	pfa	PF14_0766	PF14_0766	PF14_0766   rifin	K13851	OC.530158	359	1080	Rifin_STEVOR DUF2207 DUF4381 DUF1191 TMEM154 DUF912 PspB TMEM237 DUF3021 Baculo_11_kDa DUF1180 Glycophorin_A	Rifin_STEVOR/1 DUF1191/1 DUF2207/1		B2
rifin	pfa	PF14_0768	PF14_0768	PF14_0768   rifin	K13851	OC.530158	350	1053	Rifin_STEVOR DUF912 DUF1191 TMEM154 ETRAMP DUF2207 DUF1180 Glycophorin_A Adeno_E3_CR2 PspB Baculo_11_kDa Tmemb_9 Fusion_gly_K DUF2721 DUF3377 Cadherin_C_2 EphA2_TM	Rifin_STEVOR/1 DUF912/1		
rifin	pfa	PF14_0769	PF14_0769	PF14_0769   rifin	K13851	OC.530158	348	1047	Rifin_STEVOR DUF912 PspB TMEM154 DUF1191 DUF3377 Adeno_E3_CR2 Baculo_11_kDa DUF1180 YajC Glycophorin_A DUF2207	Rifin_STEVOR/1 DUF912/1		A
rifin	pfa	PF14_0770	PF14_0770	PF14_0770   rifin	K13851	OC.530158	344	1035	Rifin_STEVOR DUF912 DUF1180 TMEM154 PspB DUF1191 DUF3377 Adeno_E3_CR2 DUF2207 Fusion_gly_K TMEM156 AbLIM_anchor Baculo_11_kDa Glycophorin_A EphA2_TM Cadherin_C_2 Tmemb_9 Amnionless	Rifin_STEVOR/1 DUF1180/1 DUF912/1		B1
rifin	pfa	PF14_0772	PF14_0772	PF14_0772   rifin	K13851	OC.530158	340	1023	Rifin_STEVOR DUF2062 TMEM154 TRP DUF912 PspB DUF2207 Pox_EPC_I2-L1 DUF3377 DUF1191 Glycophorin_A Adeno_E3_CR2 DUF4381 DUF1180 YajC DUF3810 zinc_ribbon_2	Rifin_STEVOR/1		A
rifin	pfa	PFA0010c	PFA_0010c	PFA_0010c   RIF; rifin		OC.530158	331	996	Rifin_STEVOR PspB DUF912 DUF2207 DUF1180 DUF1191 Adeno_E3_CR2 Retrotrans_gag Baculo_11_kDa COX2_TM DUF3810 ASFV_J13L DUF3377 YajC DUF4381	Rifin_STEVOR/1		A
rifin	pfa	PFA0020w	PFA_0020w	PFA_0020w   RIF; rifin		OC.530158	372	1119	Rifin_STEVOR TMEM154 DUF912 DUF2207 Baculo_11_kDa PspB DUF3377 Adeno_E3_CR2 Glycophorin_A	Rifin_STEVOR/1		A
rifin	pfa	PFA0030c	PFA_0030c	PFA_0030c   RIF; rifin		OC.530158	359	1080	Rifin_STEVOR DUF2207 TMEM154 DUF4381 DUF1191 DUF912 7TM_GPCR_Srv Zip DUF4064 BatD DUF4083 Ni_hydr_CYTB DUF687 DUF3021 DUF2062 GP41 Glycophorin_A DUF1180 Baculo_11_kDa	Rifin_STEVOR/1 DUF2207/1 TMEM154/1		B2
rifin	pfa	PFA0040w	PFA_0040w	PFA_0040w   RIF; rifin	K13851	OC.530158	344	1035	Rifin_STEVOR PspB DUF912 DUF3377 TMEM154 DUF4448 CD34_antigen VP_N-CPKC Adeno_E3_CR2 Baculo_11_kDa AbLIM_anchor DUF1180 ASFV_J13L Syndecan DUF4852 Sigma_reg_N DUF2207	Rifin_STEVOR/1 PspB/1		A
rifin	pfa	PFA0045c	PFA_0045c	PFA_0045c   RIF; rifin		OC.530158	350	1053	Rifin_STEVOR Pan_kinase DUF3377 DUF912 TMEM154 Protocadherin DUF1191 DUF2207 DUF2937 Adeno_E3_CR2 Baculo_11_kDa PspB	Rifin_STEVOR/1		A
rifin	pfa	PFA0050c	PFA_0050c	PFA_0050c   RIF; rifin		OC.530158	358	1077	Rifin_STEVOR TMEM154 DUF912 PspB DUF3377 DUF1180 Adeno_E3_CR2 IncA DUF2207 DUF1191 YajC CHASE3 Sigma_reg_N	Rifin_STEVOR/1		A
rifin	pfa	PFA0080c	PFA_0080c	PFA_0080c   RIF; rifin		OC.530158	369	1110	Rifin_STEVOR DUF912 DUF1191 DUF2207 TMEM154 DUF1180 Adeno_E3_CR2 Baculo_11_kDa PspB DUF3377 Protocadherin Sigma_reg_N YajC Glycophorin_A	Rifin_STEVOR/1 DUF912/1 DUF1191/1		A
rifin	pfa	PFA0095c	PFA_0095c	PFA_0095c   RIF; rifin		OC.530158	343	1032	Rifin_STEVOR DUF2721 TMEM156 DUF912 MerE Tmemb_9 DUF2207 Baculo_11_kDa TMEM154 Adeno_E3_CR2 DUF1191 PspB Virul_fac_BrkB Glycophorin_A DUF2663 DUF3377 Cadherin_C_2 DUF1180 EphA2_TM Amnionless	Rifin_STEVOR/1		
rifin	pfa	PFA0710c	PFA_0710c	PFA_0710c   RIF; rifin		OC.530158	323	972	Rifin_STEVOR DUF2207 TMEM154 DUF912 DUF1180 N2227 DUF4381 OmdA Amnionless LRRC37AB_C	Rifin_STEVOR/1		
rifin	pfa	PFA0740w	PFA_0740w	PFA_0740w   RIF; rifin		OC.530158	368	1107	Rifin_STEVOR PalH DUF912 DUF2207 PspB DUF443 TMEM154 DUF3377 Glycophorin_A YajC DUF1180 Sigma_reg_N Adeno_E3_CR2 Baculo_11_kDa DUF4381	Rifin_STEVOR/1		A
rifin	pfa	PFA0745w	PFA_0745w	PFA_0745w   RIF; rifin		OC.530158	336	1011	Rifin_STEVOR DUF912 DUF2207 DUF1191 DUF4381 TMEM154 DUF4199 PspB DUF443 Cadherin_C_2 DUF3377 Syndecan DUF1180	Rifin_STEVOR/1 DUF912/1		B1
rifin	pfa	PFA0760w	PFA_0760w	PFA_0760w   RIF; rifin		OC.530158	379	1140	Rifin_STEVOR DUF912 TMEM154 DUF443 DUF3377 DUF1191 DUF2207 PspB Peptidase_M56 Herpes_gE DUF1180 CHASE3 SPACA7 Glycophorin_A YajC LAX	Rifin_STEVOR/1 TMEM154/1 DUF912/1		A
rifin	pfa	PFB0015c	PFB0015c	PFB0015c   rifin	K13851	OC.530158	334	1005	Rifin_STEVOR DUF2207 DUF4381 PspB DUF3377 TMEM154 DUF1191 DUF912 AA_permease_2 DUF3810 YajC Glycophorin_A	Rifin_STEVOR/1		A-B3*
rifin	pfa	PFB0030c	PFB0030c	PFB0030c   rifin	K13851	OC.530158	370	1113	Rifin_STEVOR DUF912 PalH DUF443 DUF2207 PspB TMEM154 DUF3377 DUF1180 Adeno_E3_CR2 DUF4366 Glycophorin_A DUF2710 Sigma_reg_N zinc_ribbon_2 YajC	Rifin_STEVOR/1		A
