à‚ì`éqfamily	ê∂ï®éÌ	à‚ì`éq_ids	à‚ì`éq	KO	OC	AA_length	NT_length	motif	E-Value < = 10e-3			OC_count
ves	bbo	BBOV_IV000060	"BBOV_IV000060   21.m02776; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	785	2358	VESA1_N DUF3886	VESA1_N			132
ves	bbo	BBOV_III001300	"BBOV_III001300   17.m07138; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	620	1863	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV007950	"BBOV_IV007950   23.m06189; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	819	2460	VESA1_N Apolipoprotein Hrs_helical	VESA1_N			132
ves	bbo	BBOV_III003060	BBOV_III003060   17.m07290; variant erythrocyte surface antigen-1 family protein		OC.528704	977	2934	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II000380	"BBOV_II000380   variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1062	3189	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I000060	"BBOV_I000060   16.m00744; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	607	1824	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I001410	"BBOV_I001410   19.m02056; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	934	2805	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II000910	"BBOV_II000910   18.m06066; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1086	3261	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I004510	"BBOV_I004510   19.m02087; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1093	3282	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005540	BBOV_I005540   26.m00076; variant erythrocyte surface antigen-1		OC.528704	1096	3291	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II001370	"BBOV_II001370   18.m06104; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1109	3330	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II004130	"BBOV_II004130   18.m06343; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1133	3402	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III006080	"BBOV_III006080   17.m10675; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1139	3420	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III000700	"BBOV_III000700   17.m07088; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1146	3441	VESA1_N DUF4544 Med3	VESA1_N			132
ves	bbo	BBOV_III000670	"BBOV_III000670   17.m07084; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	679	2040	VESA1_N T3SSipB	VESA1_N			132
ves	bbo	BBOV_I005130	"BBOV_I005130   19.m02280; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1166	3501	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III003090	"BBOV_III003090   17.m10500; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1205	3618	VESA1_N FTCD_C	VESA1_N			132
ves	bbo	BBOV_III007700	"BBOV_III007700   17.m10584; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1214	3645	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III011950	"BBOV_III011950   17.m10658; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1140	3423	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I000040	"BBOV_I000040   16.m00723; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1139	3420	VESA1_N Med3	VESA1_N			132
ves	bbo	BBOV_I005780	BBOV_I005780   28.m00029; variant erythrocyte surface antigen-1		OC.528704	1099	3300	VESA1_N Sporozoite_P67	VESA1_N			132
ves	bbo	BBOV_IV005670	"BBOV_IV005670   23.m06392; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1159	3480	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III000090	"BBOV_III000090   17.m07037; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	958	2877	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I000010	"BBOV_I000010   16.m00789; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1116	3351	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV007980	"BBOV_IV007980   23.m05894; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1102	3309	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005300	BBOV_I005300   24.m00027; variant erythrocyte surface antigen-1		OC.528704	1112	3339	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II006790	"BBOV_II006790   18.m06558; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1123	3372	VESA1_N DUF2510	VESA1_N			132
ves	bbo	BBOV_II002310	"BBOV_II002310   18.m06187; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	920	2763	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV001490	"BBOV_IV001490   variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1115	3348	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005400	BBOV_I005400   25.m00035; variant erythrocyte surface antigen-1		OC.528704	1084	3255	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005170	"BBOV_I005170   19.m02066; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1161	3486	VESA1_N CBF_beta	VESA1_N			132
ves	bbo	BBOV_III002320	"BBOV_III002320   17.m10671; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	1173	3522	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I001140	"BBOV_I001140   16.m00791; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1102	3309	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III001220	"BBOV_III001220   17.m07134; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1014	3045	VESA1_N Laminin_II Borrelia_REV Pex19	VESA1_N			132
ves	bbo	BBOV_III000040	"BBOV_III000040   17.m07031; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1107	3324	VESA1_N PEP-utilisers_N AAA_13 Spc7 ApoLp-III SesA DUF1542 Apolipoprotein	VESA1_N			132
ves	bbo	BBOV_I005110	"BBOV_I005110   19.m02252; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1140	3423	VESA1_N WEMBL TBCA DDE_Tnp_1_assoc Spc7	VESA1_N			132
ves	bbo	BBOV_II000040	"BBOV_II000040   18.m05989; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1162	3489	VESA1_N ALIX_LYPXL_bnd Baculo_PEP_C Apolipoprotein DUF3584	VESA1_N			132
ves	bbo	BBOV_II007810	"BBOV_II007810   18.m06643; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1209	3630	VESA1_N Enolase_C	VESA1_N			132
ves	bbo	BBOV_III002370	"BBOV_III002370   17.m07231; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1237	3714	VESA1_N DDE_Tnp_1_assoc Tox-REase-2	VESA1_N			132
ves	bbo	BBOV_I001440	"BBOV_I001440   19.m02096; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1261	3786	VESA1_N DUF745	VESA1_N			132
ves	bbo	BBOV_II001400	"BBOV_II001400   18.m06107; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1269	3810	VESA1_N MnmE_helical Apolipoprotein Mitofilin TelA Spc7 Baculo_PEP_C EzrA TPR_MLP1_2	VESA1_N			132
ves	bbo	BBOV_I003830	"BBOV_I003830   19.m02146; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1270	3813	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II002270	"BBOV_II002270   18.m06184; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1298	3897	VESA1_N MnmE_helical Chordopox_A30L	VESA1_N			132
ves	bbo	BBOV_IV006380	"BBOV_IV006380   23.m06076; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1230	3693	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III002330	"BBOV_III002330   17.m07227; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1304	3915	VESA1_N Pox_A6	VESA1_N			132
ves	bbo	BBOV_IV007920	"BBOV_IV007920   23.m06173; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1294	3885	VESA1_N Apolipoprotein	VESA1_N			132
ves	bbo	BBOV_II001410	"BBOV_II001410   18.m06108; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1303	3912	VESA1_N Borrelia_REV Jnk-SapK_ap_N MnmE_helical Nup88	VESA1_N			132
ves	bbo	BBOV_I003840	"BBOV_I003840   19.m02373; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1313	3942	VESA1_N SMBP SesA	VESA1_N			132
ves	bbo	BBOV_III007730	"BBOV_III007730   variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1211	3636	VESA1_N DUF937	VESA1_N			132
ves	bbo	BBOV_III007720	"BBOV_III007720   17.m07676; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1226	3681	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II002300	"BBOV_II002300   18.m06186; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1295	3888	VESA1_N DUF2524 Jnk-SapK_ap_N Spc7 MnmE_helical TPR_MLP1_2 DUF4085 DUF3391 Lac_bphage_repr AAA_13 DUF4398 RRF	VESA1_N			132
ves	bbo	BBOV_III000100	"BBOV_III000100   17.m07038; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1304	3915	VESA1_N Baculo_PEP_C MnmE_helical Spc7 RRF	VESA1_N			132
ves	bbo	BBOV_III011940	"BBOV_III011940   17.m08016; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1308	3927	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV005680	"BBOV_IV005680   23.m06097; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1315	3948	VESA1_N Thioredoxin_4 ALIX_LYPXL_bnd ERM DUF4175	VESA1_N			132
ves	bbo	BBOV_IV006400	"BBOV_IV006400   23.m05953; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1315	3948	VESA1_N Apolipoprotein Baculo_PEP_C ApoLp-III RRF AAA_13 DUF4618	VESA1_N			132
ves	bbo	BBOV_I005180	"BBOV_I005180   19.m02114; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1317	3954	VESA1_N Apolipoprotein Baculo_PEP_C Syndecan	VESA1_N			132
ves	bbo	BBOV_II004120	"BBOV_II004120   18.m06342; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1317	3954	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I000070	"BBOV_I000070   16.m00759; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1320	3963	VESA1_N Apolipoprotein DUF5104 DUF4795 ABC_tran_CTD	VESA1_N			132
ves	bbo	BBOV_II000900	"BBOV_II000900   18.m06064; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1325	3978	VESA1_N DUF148	VESA1_N			132
ves	bbo	BBOV_I000020	"BBOV_I000020   16.m00712; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1326	3981	VESA1_N MnmE_helical ApoLp-III	VESA1_N			132
ves	bbo	BBOV_I005670	BBOV_I005670   27.m00035; variant erythrocyte surface antigen-1		OC.528704	1328	3987	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV006410	"BBOV_IV006410   23.m06297; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1329	3990	VESA1_N	VESA1_N			132
ves	bbo	BBOV_II006780	"BBOV_II006780   18.m06557; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1330	3993	VESA1_N	VESA1_N			132
ves	bbo	BBOV_IV007990	"BBOV_IV007990   23.m05889; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1331	3996	VESA1_N DUF885 DUF2524 MnmE_helical THOC7 7TMR-HDED	VESA1_N			132
ves	bbo	BBOV_I003900	"BBOV_I003900   19.m02368; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1335	4008	VESA1_N DUF4164 SHE3	VESA1_N			132
ves	bbo	BBOV_III002310	"BBOV_III002310   17.m07222; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1335	4008	VESA1_N SKA2 DDE_Tnp_1_assoc PhoU_div Phage_TAC_3 Mg_chelatase	VESA1_N			132
ves	bbo	BBOV_I005550	BBOV_I005550   26.m00079; variant erythrocyte surface antigen-1		OC.528704	1335	4008	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I000050	"BBOV_I000050   16.m00792; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1337	4014	VESA1_N PLU-1 OmpH Spc7 Exonuc_VII_L	VESA1_N			132
ves	bbo	BBOV_I005410	BBOV_I005410   25.m00036; variant erythrocyte surface antigen-1		OC.528704	1337	4014	VESA1_N DUF3439	VESA1_N			132
ves	bbo	BBOV_IV001500	"BBOV_IV001500   21.m02825; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1338	4017	VESA1_N IL13	VESA1_N			132
ves	bbo	BBOV_II000370	"BBOV_II000370   18.m06015; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1341	4026	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I005530	BBOV_I005530   26.m00080; variant erythrocyte surface antigen-1		OC.528704	1347	4044	VESA1_N Spc7	VESA1_N			132
ves	bbo	BBOV_I001330	"BBOV_I001330   19.m02371; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	954	2865	VESA1_N I_LWEQ RRF	VESA1_N			132
ves	bbo	BBOV_II000110	"BBOV_II000110   18.m05991; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1349	4050	VESA1_N Med11	VESA1_N			132
ves	bbo	BBOV_III003100	"BBOV_III003100   17.m07297; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1350	4053	VESA1_N	VESA1_N			132
ves	bbo	BBOV_I004520	"BBOV_I004520   19.m02160; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1359	4080	VESA1_N APG17 Spc7 DUF5082 DUF4355 Spectrin Baculo_p24 Senescence SesA CAGE1 AAA_13	VESA1_N			132
ves	bbo	BBOV_I005140	"BBOV_I005140   19.m02309; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1360	4083	VESA1_N APG17 Spectrin Spc7 BAR IncA BAR_2 Arfaptin TSNAXIP1_N DUF5082 DUF3987 Senescence AIP3 Baculo_p24 ERM AAA_27 Sec8_exocyst DUF2959 V_ATPase_I AAA_13 SesA GARP YkyA	VESA1_N			132
ves	bbo	BBOV_II006830	"BBOV_II006830   18.m06564; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1361	4086	VESA1_N Birna_RdRp RhoGAP HOOK	VESA1_N			132
ves	bbo	BBOV_I005290	BBOV_I005290   24.m00026; variant erythrocyte surface antigen-1		OC.528704	935	2806	VESA1_N Apolipoprotein DUF5104 DUF4795 Prefoldin_2	VESA1_N			132
ves	bbo	BBOV_III006070	"BBOV_III006070   17.m07535; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1365	4098	VESA1_N	VESA1_N			132
ves	bbo	BBOV_III007690	"BBOV_III007690   17.m07671; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1369	4110	VESA1_N ALIX_LYPXL_bnd Nup54	VESA1_N			132
ves	bbo	BBOV_II002320	"BBOV_II002320   18.m06188; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1378	4137	VESA1_N Baculo_PEP_C DUF4175 HOOK	VESA1_N			132
ves	bbo	BBOV_II002260	"BBOV_II002260   18.m06183; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1262	3789	VESA1_N DUF2524 Jnk-SapK_ap_N Spc7 TPR_MLP1_2 MnmE_helical DUF4085 DUF3391 Lac_bphage_repr DDE_Tnp_1_assoc AAA_13 DUF4398 RRF	VESA1_N			132
ves	bbo	BBOV_I001430	"BBOV_I001430   19.m02391; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1323	3972	VESA1_N DDE_Tnp_1_assoc	VESA1_N			132
ves	bbo	BBOV_II004140	"BBOV_II004140   18.m06345; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1330	3993	VESA1_N SesA LXG Reo_sigmaC Fez1	VESA1_N			132
ves	bbo	BBOV_I003910	"BBOV_I003910   19.m02084; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1318	3957	VESA1_N Cas_DxTHG FliJ Latarcin RsbRD_N Focal_AT	VESA1_N			132
ves	bbo	BBOV_I005190	"BBOV_I005190   19.m02158; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1331	3996	VESA1_N Apolipoprotein SKA2 Baculo_PEP_C Spc7 Jnk-SapK_ap_N	VESA1_N			132
ves	bbo	BBOV_II000390	"BBOV_II000390   variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1338	4017	VESA1_N DDE_Tnp_1_assoc	VESA1_N			132
ves	bbo	BBOV_IV007910	"BBOV_IV007910   23.m06539; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1231	3696	VESA1_N Baculo_PEP_C DUF1664 Spc7 Apolipoprotein DUF3584 DegS	VESA1_N			132
ves	bbo	BBOV_III000710	"BBOV_III000710   17.m07089; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1285	3858	VESA1_N MnmE_helical EzrA APG6 DUF2564 Exonuc_VII_L TAN Fez1 Baculo_PEP_C Sigma70_ner SKA2 Spc7 RRF HAUS-augmin3 CC2-LZ	VESA1_N			132
ves	bbo	BBOV_IV002850	"BBOV_IV002850   21.m02973; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1309	3930	VESA1_N ORC2	VESA1_N			132
ves	bbo	BBOV_III001280	"BBOV_III001280   17.m07137; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	1385	4158	VESA1_N DisA-linker DUF1002 HOOK	VESA1_N			132
ves	bbo	BBOV_I005650	BBOV_I005650   27.m00034; variant erythrocyte surface antigen-1		OC.528704	59	180					132
ves	bbo	BBOV_I000030	"BBOV_I000030   16.m00716; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	101	306					132
ves	bbo	BBOV_I005160	"BBOV_I005160   19.m02076; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	116	351					132
ves	bbo	BBOV_I005120	"BBOV_I005120   19.m02107; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	116	351					132
ves	bbo	BBOV_IV002860	"BBOV_IV002860   21.m02743; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	127	384					132
ves	bbo	BBOV_III003110	"BBOV_III003110   17.m07298; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	135	408					132
ves	bbo	BBOV_IV001510	"BBOV_IV001510   21.m03075; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	141	426	DUF2956 TAFH				132
ves	bbo	BBOV_I005510	BBOV_I005510   26.m00077; variant erythrocyte surface antigen-1		OC.528704	182	549	Erf4				132
ves	bbo	BBOV_II004170	"BBOV_II004170   18.m06346; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	201	606					132
ves	bbo	BBOV_II000920	"BBOV_II000920   18.m06067; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	309	930					132
ves	bbo	BBOV_IV005660	"BBOV_IV005660   23.m05867; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	377	1134	LMP Reo_sigmaC DUF2616				132
ves	bbo	BBOV_IV002830	"BBOV_IV002830   21.m02723; variant erythrocyte surface antigen-1, beta subunit"		OC.528704	889	2670					132
ves	bbo	BBOV_II004190	"BBOV_II004190   18.m06349; variant erythrocyte surface antigen-1, alpha subunit"		OC.528704	972	2919	VESA1_N				132
ves	bbo	BBOV_III001200	BBOV_III001200   17.m07132; hypothetical protein		OC.529036	65	198					8
ves	bbo	BBOV_II004210	BBOV_II004210   18.m06350; hypothetical protein		OC.529036	139	420					8
ves	bbo	BBOV_IV000010	BBOV_IV000010   21.m02890; hypothetical protein		OC.529036	144	435	DUF4870				8
ves	bbo	BBOV_II007850	BBOV_II007850   18.m10061; membrane protein		OC.529036	158	477	7tm_3 DUF3671 AA_permease Serpentine_r_xa Baculo_11_kDa YjgP_YjgQ DUF998 TMEM237 DUF2207 DUF1772				8
ves	bbo	BBOV_II000010	BBOV_II000010   18.m05987; hypothetical protein		OC.529036	158	477					8
ves	bbo	BBOV_I001300	BBOV_I001300   19.m02205; hypothetical protein		OC.529036	158	477	UbiA DUF2207				8
ves	bbo	BBOV_IV012170	BBOV_IV012170   23.m06383; hypothetical protein		OC.529036	159	480	DUF2207				8
ves	bbo	BBOV_II000050	BBOV_II000050   18.m09909; membrane protein		OC.529036	160	483					8
ves	bbo	BBOV_III001170	BBOV_III001170   17.m07131; 40S ribosomal protein S17		OC.435009	145	438	Ribosomal_S17e Mistic Phlebovirus_G1 DUF3147	Ribosomal_S17e			4
ves	bbo	BBOV_III001140	BBOV_III001140   17.m07128; 40S ribosomal protein S17		OC.435009	145	438	Ribosomal_S17e Mistic Phlebovirus_G1 DUF3147	Ribosomal_S17e			4
ves	bbo	BBOV_III001250	BBOV_III001250   17.m07135; 40S ribosomal protein S17	K02962	OC.435009	132	399	Ribosomal_S17e Mistic	Ribosomal_S18e			4
ves	bbo	BBOV_III001350	BBOV_III001350   17.m07140; 40S ribosomal protein S17	K02962	OC.435009	132	399	Ribosomal_S17e Mistic	Ribosomal_S19e			4
ves	bbo	BBOV_IV000070	BBOV_IV000070   21.m02875; hypothetical protein		OC.740595	98	297					2
ves	bbo	BBOV_IV007940	"BBOV_IV007940   23.m06366; variant erythrocyte surface antigen-1, alpha subunit"		OC.740595	132	399	Spc7 DUF1664 Enolase_C Ran-binding SesA TMCO5 Phage_holin_6_1 DUF5082 LXG Baculo_PEP_C				2
ves	bbo	BBOV_I001150	BBOV_I001150   16.m00735; hypothetical protein		OC.742168	72	219					1
ves	bbo	BBOV_I003920	BBOV_I003920   19.m02384; hypothetical protein		OC.742189	94	285	Adeno_IVa2				1
ves	bbo	BBOV_I005680	BBOV_I005680   27.m00036; hypothetical protein		OC.742195	38	117					1
